_idx mlt_region clump_id           area_ellipse             area_exact                  flux            major_sigma            minor_sigma      position_angle                 radius              v_cen              v_rms             x_cen               y_cen      area_ellipse_uerr       area_ellipse_lerr        area_exact_uerr        area_exact_lerr             flux_uerr              flux_lerr        major_sigma_uerr        major_sigma_lerr        minor_sigma_uerr        minor_sigma_lerr   position_angle_uerr   position_angle_lerr            radius_uerr             radius_lerr          v_cen_uerr          v_cen_lerr             v_rms_uerr            v_rms_lerr              x_cen_uerr             x_cen_lerr              y_cen_uerr              y_cen_lerr         corrected_area       radius_corrected  radius_corrected_lerr  radius_corrected_uerr radius_not_corrected measured_line_width         line_width      line_width_unc
---- ---------- -------- ---------------------- ---------------------- --------------------- ---------------------- ---------------------- ------------------- ---------------------- ------------------ ------------------ ----------------- ------------------- ---------------------- ----------------------- ---------------------- ---------------------- --------------------- ---------------------- ----------------------- ----------------------- ----------------------- ----------------------- --------------------- --------------------- ---------------------- ----------------------- ------------------- ------------------- ---------------------- --------------------- ----------------------- ---------------------- ----------------------- ----------------------- ---------------------- ---------------------- ---------------------- ---------------------- -------------------- ------------------- ------------------ -------------------
   0          3        F 1.2267998936504193e-09  2.916666666666433e-09 0.0015400496141959744 1.8134963131782698e-05  1.553313500917233e-05   160.4226851342397 1.6783707299412227e-05 225634124249.41162  6.486619857629273  73.5263575363316 -10.223613734705598  5.578333837387663e-11  1.2267998936504193e-09  8.333333333332663e-10  2.916666666666433e-09 0.0005899757861465458  0.0015400496141959744   5.759077725275377e-08  1.8134963131782698e-05   6.548931681036701e-07   1.553313500917233e-05   -4.0882611935991235     160.4226851342397  3.773408998114584e-07  1.6783707299412227e-05   472388.4807128906  225634124249.41162     1.1748833049055794     6.486619857629273  -6.587626870668828e-07       73.5263575363316 -2.1024282759185553e-08     -10.223613734705598  2.916666666666433e-09 3.0469719964296496e-05 3.0469719964296496e-05  4.352817137756641e-06                  1.0  16.707927710701878 16.191108094513357   8.750050525446659
   2          2        H  5.697901492444706e-09  1.930555555555401e-08   0.02235573882282229   7.09323455521144e-05 1.8444746041355854e-05  133.62163355344154  3.617083216939372e-05 225622024166.37787 15.153729646057108 73.52716391855206 -10.222471204996273                    0.0                     0.0                    0.0                    0.0                   0.0                    0.0                     0.0                     0.0                     0.0                     0.0                   0.0                   0.0                    0.0                     0.0                 0.0                 0.0                    0.0                   0.0                     0.0                    0.0                     0.0                     0.0  1.628028187018204e-08  7.198732297521332e-05                    0.0                    0.0                  0.0   30.09610824232656  29.81229384458722                 0.0
   6          3        X 1.9982459668497515e-09  5.277777777777355e-09 0.0029277270454489976  3.232777900212223e-05 1.4193030658801643e-05  130.75114212321412  2.142029781557868e-05 225629465213.77573  8.566985418112681 73.52628799450162 -10.223699670772907  1.564037402295845e-10  4.3805421636661943e-10  8.333333333332672e-10  7.638888888888273e-10 0.0007557594653885662  0.0005156516231586391   5.512873015600604e-07  -1.264236110479577e-07   8.542930186085723e-07    3.15455514929189e-06    1.3443220768943434   -1.7796380762785589  8.224977120194389e-07   2.492938762447507e-06  -376609.1793823242  -1332576.439239502    0.34458869578338636    1.4256270245709386 -2.8597367531801865e-06  4.179217683031311e-07  -3.012733152729652e-06  -2.786174889024551e-06 2.2525040924053867e-09 2.6776749639978364e-05  4.540382767672272e-06  4.953144837460666e-06                  0.0  20.231830134504964 19.807172527487094  0.2466082870873283
   7          2        F  9.432002658296893e-10 2.7083333333331165e-09 0.0012868497553708148 2.1555413991852358e-05 1.0047305565969926e-05  148.84853289448435 1.4716447634436928e-05 225638343856.56433 1.4708821301420587 73.52702052337463 -10.222646225857007 4.5734800471235247e-10   9.432002658296893e-10  1.319444444444339e-09 2.7083333333331165e-09 0.0007340066478109056  0.0012868497553708148   7.856309489372553e-07  2.1555413991852358e-05   4.347197075787719e-06  1.0047305565969926e-05   -15.810490587602146    148.84853289448435  3.216433629314926e-06  1.4716447634436928e-05 -3435816.2043762207  225638343856.56433     6.8284150392458525    1.4708821301420587   1.223970969022048e-08      73.52702052337463   6.287490693424047e-06     -10.222646225857007 2.7083333333331165e-09 2.9361356833106858e-05 2.9361356833106858e-05  7.152125382423466e-06                  1.0  22.449356538117925  22.06741357562581  12.415503220666853
  10          1        F 2.4486113140005744e-09  6.527777777777255e-09 0.0037374925166362392  4.132526322335587e-05 1.3605242520024378e-05  160.70230874582526 2.3711605351759737e-05 225633329640.46524   4.88727567130721 73.52862914226041   -10.2216864008946 4.1359030627651384e-25 -4.1359030627651384e-25                    0.0                    0.0                   0.0                    0.0                     0.0  -6.776263578034403e-21  1.6940658945086007e-21                     0.0 2.842170943040401e-14                   0.0                    0.0                     0.0                 0.0                 0.0                    0.0 8.881784197001252e-16                     0.0                    0.0                     0.0                     0.0  3.502504092405287e-09  3.338984395009638e-05                    0.0                    0.0                  0.0   22.48403702535889 22.102693363024464                 0.0
  11          2        X 1.0071761562020764e-09  3.611111111110822e-09 0.0029006337855382934 1.6868753064870782e-05 1.3709591653443664e-05  120.23353820233643 1.5207357305664738e-05 225617661372.21442  8.704381891427579  73.5267834646999 -10.223002051786807   3.96741140126219e-10  4.1246932166742343e-11  1.180555555555461e-09  2.083333333333166e-10 0.0011035936837200566 0.00029567816126236214   4.382820627147605e-06  2.4387420759140903e-07   1.459252648117297e-06   3.685763982830533e-07    27.474441909666325   -0.6781433585398702 2.7470798199422895e-06  3.1464894048947535e-07   -52278.6552734375 -133579.03778076172     0.7841746545844757      0.66350314253914  1.9136085711579653e-06 -2.774430640783976e-07  1.7871668696045617e-06  -6.161673660187716e-08  5.858374257388536e-10 1.3655689082178878e-05 2.4280927612858588e-06 1.3759192313953202e-05                  0.0  24.876184980904426 24.532054788507853   0.528168935296673
  12          2        H 1.1335066248960363e-09 4.3055555555552106e-09  0.005471801022662387 1.9908588745660435e-05 1.3073312775724245e-05  139.91801155177023 1.6132923095188996e-05  225614006839.1537  9.135835047778288 73.52739819079149 -10.222234044183155                    0.0  -6.203854594147708e-25                    0.0                    0.0                   0.0                    0.0                     0.0 -3.3881317890172014e-21  1.6940658945086007e-21 -3.3881317890172014e-21                   0.0 2.842170943040401e-14 3.3881317890172014e-21 -3.3881317890172014e-21                 0.0                 0.0                    0.0                   0.0                     0.0                    0.0                     0.0                     0.0 1.2802818701832423e-09 2.0187282540777956e-05                    0.0                    0.0                  0.0  24.652428286739664 24.305130186341692                 0.0
  13          2        H  1.813757901557673e-09   6.18055555555506e-09  0.006111289533019584 2.7030575208048683e-05 1.5407284224372004e-05  110.63436492301237  2.040754162016262e-05 225619708263.22687 7.5655116389425565 73.52747362948774 -10.222135850062509                    0.0 -2.0679515313825692e-25                    0.0                    0.0                   0.0                    0.0                     0.0                     0.0                     0.0 -3.3881317890172014e-21                   0.0                   0.0                    0.0                     0.0                 0.0                 0.0                    0.0                   0.0                     0.0                    0.0                     0.0                     0.0  3.155281870183092e-09  3.169159846040837e-05                    0.0                    0.0                  0.0   18.33227803990367 17.862518049662274                 0.0
  14          1        D  2.887539934366125e-09 1.4513888888887726e-08   0.02710957631163131 3.2760739700753155e-05 2.0238408818182545e-05 -136.84907045219902 2.5749276557796836e-05  225585102234.0662 29.520087243646955 73.52897662376574 -10.221709479161692 2.3974513704552673e-10  1.6736268118048442e-10 1.8055555555554124e-09  9.027777777777053e-10 0.0028600444869510966  0.0016213917458354245   9.661128046966925e-07   7.673664659794236e-07  1.0524765982295024e-06   7.157377767117419e-07   -0.2424980548238409   -1.1082903964991715   1.04763655080137e-06   7.573558399031397e-07  -182355.0987854004  292604.60708618164    0.26972187972532424   0.28418362853374646   5.178178241749265e-08  -1.87724566558245e-07   2.477398766131955e-07    1.62468847264563e-07 1.1488615203515758e-08  6.047263676937255e-05  2.375976202175602e-06  4.751952404351208e-06                  0.0    47.5424056343426  47.36325016764102 0.23389348025866852
