_idx mlt_region clump_id           area_ellipse             area_exact                  flux            major_sigma            minor_sigma      position_angle                 radius              v_cen              v_rms             x_cen               y_cen       area_ellipse_uerr       area_ellipse_lerr        area_exact_uerr        area_exact_lerr             flux_uerr             flux_lerr       major_sigma_uerr        major_sigma_lerr        minor_sigma_uerr        minor_sigma_lerr    position_angle_uerr position_angle_lerr             radius_uerr             radius_lerr         v_cen_uerr         v_cen_lerr             v_rms_uerr            v_rms_lerr              x_cen_uerr              x_cen_lerr             y_cen_uerr              y_cen_lerr       radius_corrected  radius_corrected_lerr  radius_corrected_uerr radius_not_corrected measured_line_width         line_width      line_width_unc
---- ---------- -------- ---------------------- ---------------------- --------------------- ---------------------- ---------------------- ------------------- ---------------------- ------------------ ------------------ ----------------- ------------------- ----------------------- ----------------------- ---------------------- ---------------------- --------------------- --------------------- ---------------------- ----------------------- ----------------------- ----------------------- ---------------------- ------------------- ----------------------- ----------------------- ------------------ ------------------ ---------------------- --------------------- ----------------------- ----------------------- ---------------------- ----------------------- ---------------------- ---------------------- ---------------------- -------------------- ------------------- ------------------ -------------------
   0          3        F 1.2267998936504193e-09  2.916666666666433e-09 0.0015400496141959744 1.8134963131782698e-05  1.553313500917233e-05   160.4226851342397 1.6783707299412227e-05 225634124249.41162  6.486619857629273  73.5263575363316 -10.223613734705598   6.999396602242095e-10  1.2267998936504193e-09  2.847222222221994e-09  2.916666666666433e-09 0.0020658616948368213 0.0015400496141959744  7.778223923328999e-06  1.8134963131782698e-05  1.5396451229522137e-06   1.553313500917233e-05     -28.69864145568158   160.4226851342397   4.249840787264396e-06  1.6783707299412227e-05  401192.0118408203 225634124249.41162      2.293865899203216     6.486619857629273   2.127723163880546e-06        73.5263575363316  5.201727679704504e-06     -10.223613734705598 3.0469719964296496e-05 3.0469719964296496e-05 1.4872125220668527e-05                  1.0  16.707927710701878 16.191108094513357  11.090997849493611
   2          2        H  5.697901492444706e-09  1.930555555555401e-08   0.02235573882282229   7.09323455521144e-05 1.8444746041355854e-05  133.62163355344154  3.617083216939372e-05 225622024166.37787 15.153729646057108 73.52716391855206 -10.222471204996273  -4.963083675318166e-24   7.805687448394273e-10                    0.0  4.305555555555211e-09                   0.0  0.006609688046980561                    0.0   3.921551644633936e-06 -1.3552527156068805e-20  1.5952506806922322e-06                    0.0  -1.277195190717407  -6.776263578034403e-21  2.5687777521638327e-06                0.0 -23899.98553466797                    0.0    0.6255184784393997                     0.0   -8.78184906127899e-07                    0.0 -1.6051690518992245e-06  7.198732297521332e-05  9.519043369057201e-06                    0.0                  0.0   30.09610824232656  29.81229384458722 0.48940534193421925
   6          3        X 1.9982459668497515e-09  5.277777777777355e-09 0.0029277270454489976  3.232777900212223e-05 1.4193030658801643e-05  130.75114212321412  2.142029781557868e-05 225629465213.77573  8.566985418112681 73.52628799450162 -10.223699670772907  4.2561624319131225e-10  1.9982459668497515e-09  2.291666666666483e-09  5.277777777777355e-09 0.0019232489482459173 0.0029277270454489976 1.3895105832495316e-07   3.232777900212223e-05   2.949362127577184e-06  1.4193030658801643e-05     1.9573667050472068  130.75114212321412   2.171171811926902e-06   2.142029781557868e-05  -783651.374420166 225629465213.77573     0.8629721228641944     8.566985418112681   -3.56140920132475e-06       73.52628799450162 -4.764890915609499e-06     -10.223699670772907 2.6776749639978364e-05  3.136991730391753e-05  1.362114830301682e-05                  0.0  20.231830134504964 19.807172527487094  10.393175586734811
   7          2        F  9.432002658296893e-10 2.7083333333331165e-09 0.0012868497553708148 2.1555413991852358e-05 1.0047305565969926e-05  148.84853289448435 1.4716447634436928e-05 225638343856.56433 1.4708821301420587 73.52702052337463 -10.222646225857007  1.7930623265675905e-09   9.432002658296893e-10  4.791666666666283e-09 2.7083333333331165e-09 0.0026262096613343224 0.0012868497553708148 1.4687434283698616e-05  2.1555413991852358e-05   7.288240110170137e-06  1.0047305565969926e-05     -3.857148362390177  148.84853289448435  1.0349257057716212e-05  1.4716447634436928e-05  1989346.043395996 225638343856.56433     11.375002391920917    1.4708821301420587 -2.0078622753771924e-05       73.52702052337463  -2.70372420629883e-06     -10.222646225857007 2.9361356833106858e-05 2.9361356833106858e-05 2.5973507967748373e-05                  1.0  22.449356538117925  22.06741357562581  11.910975632463161
  10          1        F 2.4486113140005744e-09  6.527777777777255e-09 0.0037374925166362392  4.132526322335587e-05 1.3605242520024378e-05  160.70230874582526 2.3711605351759737e-05 225633329640.46524   4.88727567130721 73.52862914226041   -10.2216864008946   8.271806125530277e-25  4.1359030627651384e-25                    0.0                    0.0                   0.0                   0.0  6.776263578034403e-21                     0.0  1.6940658945086007e-21  1.6940658945086007e-21                    0.0                 0.0                     0.0  3.3881317890172014e-21                0.0                0.0                    0.0 8.881784197001252e-16                     0.0                     0.0                    0.0                     0.0  3.338984395009638e-05                    0.0                    0.0                  0.0   22.48403702535889 22.102693363024464                 0.0
  11          2        X 1.0071761562020764e-09  3.611111111110822e-09 0.0029006337855382934 1.6868753064870782e-05 1.3709591653443664e-05  120.23353820233643 1.5207357305664738e-05 225617661372.21442  8.704381891427579  73.5267834646999 -10.223002051786807   2.611360038553786e-09   2.451073671465387e-10  6.736111111110573e-09 1.3194444444443385e-09  0.004499328591332367 0.0014336767739295071 2.5054167714824773e-05  1.2975802774754315e-06  6.1094866250790695e-06   2.471956818921183e-06    -3.6106046598506794   6.622539352526616  1.3617521681021285e-05   1.979237494822288e-06 1898033.9436035156  1365414.623413086     3.2089515134773237     4.944259218354151   6.886518775672812e-06 -3.2173782926747663e-06  1.911379707664196e-05 -2.8966343741387846e-06 1.3655689082178878e-05 1.5377920821477108e-05  7.850833261490947e-05                  0.0  24.876184980904426 24.532054788507853  0.6875270006491814
  12          2        H 1.1335066248960363e-09 4.3055555555552106e-09  0.005471801022662387 1.9908588745660435e-05 1.3073312775724245e-05  139.91801155177023 1.6132923095188996e-05  225614006839.1537  9.135835047778288 73.52739819079149 -10.222234044183155                     0.0  -6.203854594147708e-25                    0.0                    0.0                   0.0                   0.0                    0.0 -3.3881317890172014e-21  1.6940658945086007e-21 -3.3881317890172014e-21                    0.0                 0.0  3.3881317890172014e-21 -3.3881317890172014e-21                0.0                0.0                    0.0                   0.0                     0.0                     0.0                    0.0                     0.0 2.0187282540777956e-05                    0.0                    0.0                  0.0  24.652428286739664 24.305130186341692                 0.0
  13          2        H  1.813757901557673e-09   6.18055555555506e-09  0.006111289533019584 2.7030575208048683e-05 1.5407284224372004e-05  110.63436492301237  2.040754162016262e-05 225619708263.22687 7.5655116389425565 73.52747362948774 -10.222135850062509  2.0679515313825692e-25                     0.0                    0.0                    0.0                   0.0                   0.0                    0.0                     0.0  3.3881317890172014e-21                     0.0                    0.0                 0.0                     0.0                     0.0                0.0                0.0                    0.0                   0.0                     0.0                     0.0                    0.0                     0.0  3.169159846040837e-05                    0.0                    0.0                  0.0   18.33227803990367 17.862518049662274                 0.0
  14          1        D  2.887539934366125e-09 1.4513888888887726e-08   0.02710957631163131 3.2760739700753155e-05 2.0238408818182545e-05 -136.84907045219902 2.5749276557796836e-05  225585102234.0662 29.520087243646955 73.52897662376574 -10.221709479161692   2.397451370455263e-10   6.197709956042978e-10 1.8055555555554124e-09   4.30555555555521e-09 0.0028600444869510966  0.008112504850231447  9.661128046966857e-07   4.206533864106992e-06   1.052476598229499e-06   2.002358534910293e-06    -0.2424980548238409 -183.44557264031576  1.0476365508013632e-06  2.9300755762553174e-06 -182355.0987854004 2646767.4803466797    0.26972187972532424     5.096744082824358   5.178178241749265e-08   9.762624699760636e-07  2.477398766131955e-07 -1.4693767980133998e-08  6.047263676937255e-05 1.1331578810375946e-05  4.751952404351208e-06                  0.0    47.5424056343426  47.36325016764102 0.47494047723392896
