_idx           area_ellipse             area_exact                  flux            major_sigma            minor_sigma      position_angle                 radius              v_cen              v_rms              x_cen              y_cen      area_ellipse_uerr      area_ellipse_lerr        area_exact_uerr        area_exact_lerr             flux_uerr             flux_lerr       major_sigma_uerr       major_sigma_lerr       minor_sigma_uerr       minor_sigma_lerr   position_angle_uerr     position_angle_lerr            radius_uerr            radius_lerr          v_cen_uerr          v_cen_lerr           v_rms_uerr          v_rms_lerr             x_cen_uerr              x_cen_lerr              y_cen_uerr              y_cen_lerr       radius_corrected  radius_corrected_lerr  radius_corrected_uerr radius_not_corrected measured_line_width         line_width     line_width_unc mlt_region
---- ---------------------- ---------------------- --------------------- ---------------------- ---------------------- ------------------- ---------------------- ------------------ ------------------ ------------------ ------------------ ---------------------- ---------------------- ---------------------- ---------------------- --------------------- --------------------- ---------------------- ---------------------- ---------------------- ---------------------- --------------------- ----------------------- ---------------------- ---------------------- ------------------- ------------------- -------------------- ------------------- ---------------------- ----------------------- ----------------------- ----------------------- ---------------------- ---------------------- ---------------------- -------------------- ------------------- ------------------ ------------------ ----------
   0 2.8251185971811544e-09  9.012345679010543e-09  0.005986405054542796  4.692753070822714e-05 1.3823278114819387e-05   68.07083721606843 2.5469438710375048e-05 226516991766.46027 11.396107062901832 181.54606068684555 -8.801206188922519  4.995390218126942e-10  1.808050799812004e-09 2.5925925925920745e-09  5.185185185184147e-09  0.002155016827090399  0.002681359874205773  8.577531813052088e-07 2.8422563416028997e-05 2.1522351868454734e-06 1.2031534109994463e-06   0.40132859741225957       6.968964613722271 2.1601548154272385e-06 1.0187586896290152e-05  -85300.28210449219  1412017.3547668457  0.33836963116205254 -0.1497572813410919  7.936142196740548e-07   8.137178269862488e-06 -2.0122921036147545e-06 -2.3106698170849427e-05  4.209456472178027e-05 1.9604617805726537e-05  9.802308902863272e-06                  0.0   49.79724466397056 49.627359683570134 14.182692386290558          3
   1  2.510398446533554e-09  9.506172839504271e-09  0.007140259963174313  4.126525450701443e-05 1.3968835204453785e-05   90.99480111614282 2.4008905428576462e-05  226492285831.4896 22.151117217620833 181.54584440464367  -8.79931433613371 4.5829522088101287e-10  7.701103317204238e-10 2.0987654320983458e-09  3.209876543209234e-09 0.0018835027190872789 0.0036444865517481113 2.3596946211120967e-06  9.208423077285286e-06 1.6566141975693036e-06 1.5035383607678738e-06    0.5182860299760677        4.97952061776715 2.0997030228016436e-06  4.018959964929645e-06 -512793.62240600586 -3330758.5955810547   1.0970740447359724   17.02042871389515  7.534944472809002e-07 -1.2137462590544601e-08   1.076046171277767e-06  1.2699008999916828e-05  4.392200412512356e-05 1.1631247907338932e-05  7.605046708644687e-06                  0.0   36.49137287353074 36.259199484188194  2.448622493842734          1
   3  1.018265051462651e-09 3.3333333333326667e-09  0.001456850150599719 2.0530136932820787e-05 1.1388618803483188e-05 -153.26183506118267 1.5290843780223756e-05 226497011752.18195  4.611022821090676 181.54611280354996 -8.801276991783505  5.128738782738385e-10  1.018265051462651e-09 1.7283950617280496e-09 3.3333333333326667e-09    0.0006373806635744  0.001456850150599719 2.8016650292124468e-06 2.0530136932820787e-05 3.6798242632221703e-06 1.1388618803483188e-05     7.039161294486036     -153.26183506118267  3.459461004193541e-06 1.5290843780223756e-05    -18470.216796875  226497011752.18195 0.012046024491234597   4.611022821090676 -6.036461712710661e-06      181.54611280354996   3.820029837342531e-06      -8.801276991783505  3.257350079352474e-05  3.257350079352474e-05  8.444981687210118e-06                  1.0   49.06106390782421   48.8886208110508  25.45080411371598          3
   4  7.189754320270234e-09  3.555555555554845e-08   0.06500840849641121   8.93146834308932e-05 1.8483884732733678e-05   92.55899603550668  4.063105109983285e-05  226451970736.2695  25.05791272454173 181.54586835574284 -8.800375208956948 1.1129555809570108e-10 1.6859673072235827e-09  6.172839506171613e-10  9.999999999998002e-09 0.0014673171748110642   0.01576220667311603  5.733088885815789e-07 1.4881545121820956e-05 1.6640999759972512e-07  1.505461590487055e-06 -0.015148302442341333     0.25536433069872544  3.132714550238799e-07   5.08168657644375e-06   6912.172180175781  1745130.0589904785  0.16492183668653482  2.6811399879193836 -7.044161520752823e-08  -6.491609383374453e-08    8.67669355031353e-07  -3.237085088869662e-08 0.00010109855831746266  1.574255318182642e-05  9.717625420880516e-07                  0.0   39.48810708364361  39.27365343443875 0.2120800998317769          2
   6 1.5589054697045346e-09  6.419753086418469e-09  0.011487549643034995 2.7306009380554567e-05 1.3108820302027179e-05    80.5834670799243 1.8919555230902185e-05   226452209425.711 26.037616885319554  181.5461921204154 -8.801564868270619                    0.0 2.0679515313825692e-25                    0.0                    0.0                   0.0                   0.0                    0.0                    0.0                    0.0 1.6940658945086007e-21                   0.0                     0.0                    0.0                    0.0                 0.0                 0.0                  0.0                 0.0                    0.0                     0.0                     0.0                     0.0 3.0768563925656755e-05                    0.0                    0.0                  0.0   56.75943238757903  56.61044442502862                0.0          3
   7 1.0396863402356745e-09 3.3333333333326667e-09 0.0013996191732020369 1.7745628607720764e-05 1.3452810181835068e-05 -167.94882524628565  1.545084377039033e-05 226482973313.75668 2.6979420085876575 181.54613345713886 -8.801320331098697  1.273893444560299e-10 1.0396863402356745e-09  7.407407407405922e-10 3.3333333333326667e-09 0.0005459041546636268 0.0013996191732020369  1.113839145954703e-06 1.7745628607720764e-05  7.564561061052727e-07 1.3452810181835068e-05     347.3817251940055     -167.94882524628565   9.19226460393619e-07  1.545084377039033e-05  -1389886.577331543  226482973313.75668   1.7745864801897553  2.6979420085876575 2.3858922304498265e-07      181.54613345713886 -3.2958169331465115e-06      -8.801320331098697  3.257350079352474e-05  3.257350079352474e-05  3.619277865947191e-06                  1.0  43.392895371568095  43.19783121601076 21.727263876605495          3
   8  6.572878222839813e-09  3.160493827159862e-08    0.0576191601128558  7.396345809019747e-05 2.0405180577620692e-05   94.07753046540168  3.884890884536861e-05 226413466836.66812 48.199646139184836 181.54585750619955  -8.79904277084433  6.224491890807732e-10 1.3872072904835155e-09  4.444444444443553e-09  7.901234567899653e-09  0.006894561596745841  0.012734178117541906 2.8980701228922595e-06  8.842173631680236e-06 1.0901243253131142e-06  2.120639665226234e-06   0.49699229549715085      1.1919524610615184  1.797886652503205e-06  4.342202396484853e-06  -945618.5546264648  -3789447.793762207   1.4948279066090464   4.099269073978412  2.454531511375535e-07  2.0834866631957993e-07  1.3656199460143625e-06   3.642261537706304e-06  9.467522355854044e-05  1.328246705678201e-05  7.471387719439879e-06                  0.0   64.40695256477733  64.27569363080086  2.022828942818915          1
   9  9.225146933462467e-10 3.2098765432092345e-09 0.0013329259696615362 2.0859823160190365e-05 1.0154644737110635e-05   85.50049521130816 1.4554177869968666e-05 226469678976.19757  4.296776238784753  181.5458660832178 -8.800154343636224  4.642547683944518e-12  9.225146933462467e-10                    0.0 3.2098765432092345e-09 3.353456904083094e-05 0.0013329259696615362  8.722605778716864e-08 2.0859823160190365e-05  8.605192806808621e-09 1.0154644737110635e-05   -1.0821776632054565       85.50049521130816  3.657593155191972e-08 1.4554177869968666e-05  148732.68801879883  226469678976.19757  0.12341431702530681   4.296776238784753 3.1640510655961407e-07       181.5458660832178  -5.750663394366029e-07      -8.800154343636224  3.196459662083898e-05  3.196459662083898e-05                    0.0                  1.0    40.8141364137947 40.606686447467496  20.40706820689735          2
  10 2.2339283866080008e-09  8.148148148146518e-09  0.004805573479581584  3.660282637051607e-05 1.4013824984461251e-05    51.0839737429558  2.264830242408987e-05 226446887850.44702  6.618834115430884 181.54609424967006  -8.80129639650531  3.631414721044705e-10  5.576152137386038e-10 1.6049382716046187e-09 2.7160493827155054e-09 0.0014782234393268976 0.0016553302155796162 1.1811912625099745e-06 -8.249150124339496e-08 1.7687390842259228e-06 3.5216642373630217e-06     1.517224153594185      -0.701680035217187 1.7715394891093108e-06 3.0292236442670063e-06  -2288974.688598633  -369236.2897338867    4.498930075049367  1.1695732136012191 1.2324951512709958e-06   3.980277938353538e-07 -3.0454772250720907e-06   9.201849238138493e-08 3.8689401151045326e-05 1.1172896764497593e-05 6.6021662699304034e-06                  0.0  51.025196414446434  50.85941330935636 0.8546446662861662          3
