_idx           area_ellipse             area_exact                  flux            major_sigma            minor_sigma      position_angle                 radius              v_cen              v_rms              x_cen              y_cen       area_ellipse_uerr      area_ellipse_lerr        area_exact_uerr        area_exact_lerr              flux_uerr              flux_lerr        major_sigma_uerr        major_sigma_lerr        minor_sigma_uerr        minor_sigma_lerr   position_angle_uerr    position_angle_lerr            radius_uerr             radius_lerr          v_cen_uerr          v_cen_lerr            v_rms_uerr            v_rms_lerr             x_cen_uerr             x_cen_lerr             y_cen_uerr              y_cen_lerr         corrected_area       radius_corrected  radius_corrected_lerr  radius_corrected_uerr radius_not_corrected measured_line_width         line_width       line_width_unc mlt_region
---- ---------------------- ---------------------- --------------------- ---------------------- ---------------------- ------------------- ---------------------- ------------------ ------------------ ------------------ ------------------ ----------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------- ----------------------- ----------------------- ----------------------- --------------------- ---------------------- ---------------------- ----------------------- ------------------- ------------------- --------------------- --------------------- ---------------------- ---------------------- ---------------------- ----------------------- ---------------------- ---------------------- ---------------------- ---------------------- -------------------- ------------------- ------------------ -------------------- ----------
   0 2.8251185971811544e-09  9.012345679010543e-09  0.005986405054542796  4.692753070822714e-05 1.3823278114819387e-05   68.07083721606843 2.5469438710375048e-05 226516991766.46027 11.396107062901832 181.54606068684555 -8.801206188922519  1.2573007470188427e-10 1.7789086140457315e-10  6.172839506171613e-10  7.407407407405922e-10  0.0004604300724045003  0.0004097367592278958  3.1220165286777066e-07   2.279601125047515e-06   5.197739239782985e-07  2.0908068962991043e-07    1.2173537367110612    0.19391165132383037  5.605812580010662e-07   8.149111754299675e-07 -117416.39950561523 -114566.73583984375   0.10254987654587211  0.021489287788389433 1.5962635302457784e-07 1.0375441092946858e-06 -8.087311993421054e-07  -2.819996739233943e-06  5.566752576742246e-09  4.209456472178027e-05 2.8006596865323617e-06 2.3338830721103055e-06                  0.0   49.79724466397056 49.627359683570134   2.3494275130355717          3
   1  2.510398446533554e-09  9.506172839504271e-09  0.007140259963174313  4.126525450701443e-05 1.3968835204453785e-05   90.99480111614282 2.4008905428576462e-05  226492285831.4896 22.151117217620833 181.54584440464367  -8.79931433613371   8.135263093254632e-11  2.418225588199823e-10  1.234567901234326e-10  9.876543209874558e-10  0.0005621432195988514   0.000658083295791697  1.6881655873586591e-07  2.2089141312210534e-06   3.939195699755701e-07   6.316608358578976e-07    -0.570006248853872     1.2972002977852526 3.8591783423178134e-07  1.1856448860687805e-06 -203258.96279907227  1227783.8019714355   0.22735121205153064    0.9481457645942157 1.0262789373882697e-07 -5.323470304574585e-07  9.633946369547175e-07 -2.1229943278910923e-06  6.060579737235975e-09  4.392200412512356e-05  3.578845509950437e-06 4.4735568874380693e-07                  0.0   36.49137287353074 36.259199484188194  0.18582711555859888          1
   3  1.018265051462651e-09 3.3333333333326667e-09  0.001456850150599719 2.0530136932820787e-05 1.1388618803483188e-05 -153.26183506118267 1.5290843780223756e-05 226497011752.18195  4.611022821090676 181.54611280354996 -8.801276991783505    1.61696712903795e-10  8.402040935418934e-12  4.938271604937287e-10 1.2345679012343218e-10 0.00019794142374025088  6.796930874593547e-05   1.113641531036584e-06   6.053916179019001e-07   1.129438028419338e-06 -2.4920427442165483e-07    5.2309176051299175     1.0544769466807793  1.169352113740402e-06   6.321557201813819e-08 -50586.357177734375  -83390.92733764648   0.03261317309259404   0.05640403038323516 -2.639643867041741e-06  9.452001279441902e-07 2.5604350604169213e-06  -5.872626474001663e-07 3.3333333333326667e-09  3.257350079352474e-05  3.257350079352474e-05 2.4128519106314635e-06                  1.0   49.06106390782421   48.8886208110508   0.5687467006607569          3
   4  7.189754320270234e-09  3.555555555554845e-08   0.06500840849641121   8.93146834308932e-05 1.8483884732733678e-05   92.55899603550668  4.063105109983285e-05  226451970736.2695  25.05791272454173 181.54586835574284 -8.800375208956948  1.1129555809570108e-10 2.1623927851747042e-10  6.172839506171613e-10 1.3580246913577535e-09  0.0014673171748110642  0.0027008381090581277   5.733088885815789e-07  1.2497842681519005e-06  1.6640999759972512e-07   3.014949272127784e-07 -0.015148302442341333 -0.0036607781865853894  3.132714550238799e-07   6.156749956294386e-07   6912.172180175781   328118.8282775879   0.16492183668653482    0.3643644914447073 -7.044161520752823e-08 1.7104420635405404e-07   8.67669355031353e-07  1.6584282391818306e-07  3.210996245328015e-08 0.00010109855831746266 2.1378775925937116e-06  9.717625420880516e-07                  0.0   39.48810708364361  39.27365343443875 0.022188945448252895          2
   6 1.5589054697045346e-09  6.419753086418469e-09  0.011487549643034995 2.7306009380554567e-05 1.3108820302027179e-05    80.5834670799243 1.8919555230902185e-05   226452209425.711 26.037616885319554  181.5461921204154 -8.801564868270619 -2.0679515313825692e-25                    0.0                    0.0                    0.0                    0.0                    0.0                     0.0                     0.0 -1.6940658945086007e-21                     0.0                   0.0                    0.0                    0.0                     0.0                 0.0                 0.0 3.552713678800501e-15                   0.0                    0.0                    0.0                    0.0                     0.0 2.9741599841501727e-09 3.0768563925656755e-05                    0.0                    0.0                  0.0   56.75943238757903  56.61044442502862                  0.0          3
   7 1.0396863402356745e-09 3.3333333333326667e-09 0.0013996191732020369 1.7745628607720764e-05 1.3452810181835068e-05 -167.94882524628565  1.545084377039033e-05 226482973313.75668 2.6979420085876575 181.54613345713886 -8.801320331098697  4.0285437056208984e-11 1.4888719369371173e-11  3.703703703702961e-10 1.2345679012343218e-10  0.0002955122792543338 0.00010302176037016659   7.809389543215507e-07 -4.5764264270993724e-07  -6.777533718150838e-08   5.260190329061407e-07    -2.679973823325895     -1.065066791447009   2.96497350248569e-07  1.1103002700934791e-07  -957663.7453918457 -368047.92391967773     1.396710105671136     1.029305181924304  7.301370317236433e-07 -5.636834430333693e-07 -1.835388282245276e-06 -1.3269215664024614e-06 3.3333333333326667e-09  3.257350079352474e-05  3.257350079352474e-05 1.8096389329735955e-06                  1.0  43.392895371568095  43.19783121601076 0.061343224006904506          3
   8  6.572878222839813e-09  3.160493827159862e-08    0.0576191601128558  7.396345809019747e-05 2.0405180577620692e-05   94.07753046540168  3.884890884536861e-05 226413466836.66812 48.199646139184836 181.54585750619955  -8.79904277084433   2.069414338981495e-10 3.1402553124006093e-10 1.3580246913577535e-09 1.4814814814811845e-09   0.002412255199738929  0.0029439435253122356  1.1536914460060632e-06  1.3640301887389827e-06     3.1917841790372e-07   6.098118347333908e-07   0.08682786155632982    0.05017809504531101  6.068229778883526e-07   9.393790958184091e-07  -280558.2799987793   -652919.809173584    0.5182832106301802    0.6967664613652929  -1.59600148208483e-07  5.120574542161194e-08  2.048489253780872e-07   7.865320359456973e-07 2.8159345169330322e-08  9.467522355854044e-05 2.4904625731466263e-06 2.2829240253844094e-06                  0.0   64.40695256477733  64.27569363080086   0.2892217359544489          1
   9  9.225146933462467e-10 3.2098765432092345e-09 0.0013329259696615362 2.0859823160190365e-05 1.0154644737110635e-05   85.50049521130816 1.4554177869968666e-05 226469678976.19757  4.296776238784753  181.5458660832178 -8.800154343636224   4.642547683944518e-12  1.389131336930386e-10                    0.0  4.938271604937283e-10  3.353456904083094e-05  0.0001707974457464856   8.722605778716864e-08  2.1524132857999537e-06   8.605192806808621e-09   5.366686169696951e-07   -1.0821776632054565     5.4969912333310305  3.657593155191972e-08  1.1404751208551372e-06  148732.68801879883 -28640.149810791016   0.12341431702530681 -0.024730867155396297 3.1640510655961407e-07 -4.274654372693476e-07 -5.750663394366029e-07  -8.632395882557375e-07 3.2098765432092345e-09  3.196459662083898e-05  3.196459662083898e-05                    0.0                  1.0    40.8141364137947 40.606686447467496  0.08605487184481575          2
  10 2.2339283866080008e-09  8.148148148146518e-09  0.004805573479581584  3.660282637051607e-05 1.4013824984461251e-05    51.0839737429558  2.264830242408987e-05 226446887850.44702  6.618834115430884 181.54609424967006  -8.80129639650531   1.231773544266959e-10  2.924280682835906e-10  4.938271604937287e-10 1.2345679012343201e-09  0.0007621682839024386  0.0005460102586601068 -1.4464015589167194e-07   3.810613192073973e-07   8.313756388601096e-07  1.7063228092572864e-06    1.7255030109143377    0.13396826390827243   6.16028400554717e-07  1.5343389837807928e-06 -1662317.4064331055   69029.53579711914    3.4697049343376225 -0.049082804572177174 1.0962405383452278e-06 -5.811582184378494e-07 -2.794209759571231e-06  2.4524146091664534e-07 4.7025550458782215e-09 3.8689401151045326e-05 5.0785894384079946e-06 2.0314357753632005e-06                  0.0  51.025196414446434  50.85941330935636  0.34509302931192565          3
  11 1.1068141337216527e-09  3.827160493826395e-09 0.0030328947591067752 1.9564166937810297e-05 1.2990186932944385e-05   59.40330140863238 1.5941837588856748e-05 226400925308.03522 6.5030063756427525 181.54619340643515  -8.80161049049626                     0.0                    0.0                    0.0                    0.0                    0.0                    0.0                     0.0                     0.0                     0.0                     0.0                   0.0                    0.0                    0.0                     0.0                 0.0                 0.0                   0.0                   0.0                    0.0                    0.0                    0.0                     0.0   3.81567391558099e-10  1.102073831366594e-05                    0.0                    0.0                  0.0    62.9586979139176 62.824413216957545                  0.0          3
  12 1.5063313402848929e-09  4.444444444443556e-09 0.0020766462733969797  2.731292401889604e-05 1.2663518226572038e-05   66.67721323688788 1.8597787802162577e-05 226396508756.10355  7.869329637216083 181.54614936721464  -8.80151186716068  1.1163055670706054e-10 1.5063313402848929e-09  2.469135802468635e-10  4.444444444443556e-09  6.690253134438752e-05  0.0020766462733969797   8.570359494220302e-07   2.731292401889604e-05   5.246392496013684e-07  1.2663518226572038e-05    0.9384637845683699      66.67721323688788  6.768034557520623e-07  1.8597787802162577e-05   34810.07620239258  226396508756.10355   0.09128070345860273     7.869329637216083 -7.183715524661238e-07     181.54614936721464 1.0653090178891489e-06       -8.80151186716068  9.988513421752595e-10 1.7830991476705197e-05  3.966999275136265e-05 2.2038884861868078e-06                  0.0  56.204259815509324 56.053796253673795    28.11313123594874          3
  13  1.789870202150353e-09  4.938271604937284e-09 0.0022845448173466204 3.0940457815358105e-05  1.328302123029858e-05   56.87809919451283  2.027270968658505e-05  226363693703.0675    6.3316956449199 181.54619293801755 -8.801655119428478                     0.0                    0.0                    0.0                    0.0                    0.0                    0.0   6.776263578034403e-21  -6.776263578034403e-21 -1.6940658945086007e-21                     0.0                   0.0                    0.0                    0.0 -3.3881317890172014e-21                 0.0                 0.0                   0.0                   0.0                    0.0                    0.0                    0.0                     0.0 1.4926785026689874e-09  2.179757611051184e-05                    0.0                    0.0                  0.0   61.03934935601226  60.90083269417925                  0.0          3
